rank,probe_dir,pair_id,steer_target,predicted,correct,sim_high_ref,sim_low_ref,margin,sim_to_predicted,judge_closer,tie
1,probe_checkpoints.withDefense484Only,gemini-00006,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
2,probe_checkpoints.withRegularGullibility,gemini-00040,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
3,probe_checkpoints.withRegularGullibility,gemini-00044,low,high,False,1.0000,0.0000,+1.0000,1.0000,high,False
4,probe_checkpoints.withRegularGullibility,gemini-00065,low,high,False,1.0000,0.0000,+1.0000,1.0000,high,False
5,probe_checkpoints.withRegularGullibility,gemini-00066,low,low,True,0.2000,1.0000,-0.8000,1.0000,low,False
6,probe_checkpoints.withDefense484Only,gemini-00076,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
7,probe_checkpoints.withRegularGullibility,gemini-00076,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
8,probe_checkpoints.withRegularGullibility,gemini-00076,high,low,False,0.0000,1.0000,-1.0000,1.0000,low,False
9,probe_checkpoints.withRegularGullibility,gemini-00104,low,low,True,0.1500,1.0000,-0.8500,1.0000,low,False
10,probe_checkpoints.withDefense484Only,gemini-00003,low,high,False,0.9500,0.8500,+0.1000,0.9500,high,False
11,probe_checkpoints.withDefense484Only,gemini-00006,high,high,True,0.9500,0.1000,+0.8500,0.9500,high,False
12,probe_checkpoints.withDefense484Only,gemini-00008,low,low,True,0.1500,0.9500,-0.8000,0.9500,low,False
13,probe_checkpoints.withRegularGullibility,gemini-00006,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
14,probe_checkpoints.withDefense484Only,gemini-00026,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
15,probe_checkpoints.withDefense484Only,gemini-00044,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
16,probe_checkpoints.withDefense484Only,gemini-00045,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
17,probe_checkpoints.withDefense484Only,gemini-00055,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
18,probe_checkpoints.withRegularGullibility,gemini-00055,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
19,probe_checkpoints.withRegularGullibility,gemini-00063,low,low,True,0.1500,0.9500,-0.8000,0.9500,low,False
20,probe_checkpoints.withRegularGullibility,gemini-00068,high,low,False,0.8500,0.9500,-0.1000,0.9500,low,False
21,probe_checkpoints.withDefense484Only,gemini-00076,high,low,False,0.2000,0.9500,-0.7500,0.9500,low,False
22,probe_checkpoints.withDefense484Only,gemini-00088,low,low,True,0.1500,0.9500,-0.8000,0.9500,low,False
23,probe_checkpoints.withDefense484Only,gemini-00097,low,high,False,0.9500,0.2000,+0.7500,0.9500,high,False
24,probe_checkpoints.withDefense484Only,gemini-00098,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
25,probe_checkpoints.withDefense484Only,gemini-00102,low,high,False,0.9500,0.1000,+0.8500,0.9500,high,False
26,probe_checkpoints.withRegularGullibility,gemini-00105,low,high,False,0.9500,0.1500,+0.8000,0.9500,high,False
27,probe_checkpoints.withDefense484Only,gemini-00106,low,high,False,0.9500,0.5000,+0.4500,0.9500,high,False
28,probe_checkpoints.withRegularGullibility,gemini-00002,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
29,probe_checkpoints.withDefense484Only,gemini-00002,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
30,probe_checkpoints.withRegularGullibility,gemini-00003,low,high,False,0.8500,0.5500,+0.3000,0.8500,high,False
31,probe_checkpoints.withRegularGullibility,gemini-00006,high,high,True,0.8500,0.1500,+0.7000,0.8500,high,False
32,probe_checkpoints.withRegularGullibility,gemini-00008,low,low,True,0.3000,0.8500,-0.5500,0.8500,low,False
33,probe_checkpoints.withDefense484Only,gemini-00011,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
34,probe_checkpoints.withRegularGullibility,gemini-00011,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
35,probe_checkpoints.withDefense484Only,gemini-00012,low,high,False,0.8500,0.1500,+0.7000,0.8500,high,False
36,probe_checkpoints.withDefense484Only,gemini-00014,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
37,probe_checkpoints.withRegularGullibility,gemini-00014,low,high,False,0.8500,0.6000,+0.2500,0.8500,high,False
38,probe_checkpoints.withDefense484Only,gemini-00017,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
39,probe_checkpoints.withRegularGullibility,gemini-00017,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
40,probe_checkpoints.withRegularGullibility,gemini-00026,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
41,probe_checkpoints.withRegularGullibility,gemini-00027,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
42,probe_checkpoints.withDefense484Only,gemini-00036,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
43,probe_checkpoints.withDefense484Only,gemini-00038,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
44,probe_checkpoints.withDefense484Only,gemini-00038,high,low,False,0.2000,0.8500,-0.6500,0.8500,low,False
45,probe_checkpoints.withDefense484Only,gemini-00039,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
46,probe_checkpoints.withRegularGullibility,gemini-00038,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
47,probe_checkpoints.withDefense484Only,gemini-00045,high,low,False,0.1500,0.8500,-0.7000,0.8500,low,False
48,probe_checkpoints.withRegularGullibility,gemini-00045,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
49,probe_checkpoints.withDefense484Only,gemini-00049,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
50,probe_checkpoints.withRegularGullibility,gemini-00049,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
51,probe_checkpoints.withRegularGullibility,gemini-00050,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
52,probe_checkpoints.withDefense484Only,gemini-00055,high,low,False,0.1500,0.8500,-0.7000,0.8500,low,False
53,probe_checkpoints.withDefense484Only,gemini-00056,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
54,probe_checkpoints.withRegularGullibility,gemini-00060,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
55,probe_checkpoints.withDefense484Only,gemini-00060,low,high,False,0.8500,0.1500,+0.7000,0.8500,high,False
56,probe_checkpoints.withDefense484Only,gemini-00065,low,high,False,0.8500,0.1500,+0.7000,0.8500,high,False
57,probe_checkpoints.withDefense484Only,gemini-00065,high,low,False,0.2500,0.8500,-0.6000,0.8500,low,False
58,probe_checkpoints.withDefense484Only,gemini-00068,high,low,False,0.2000,0.8500,-0.6500,0.8500,low,False
59,probe_checkpoints.withDefense484Only,gemini-00070,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
60,probe_checkpoints.withRegularGullibility,gemini-00070,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
61,probe_checkpoints.withDefense484Only,gemini-00070,high,high,True,0.8500,0.2000,+0.6500,0.8500,high,False
62,probe_checkpoints.withRegularGullibility,gemini-00070,high,high,True,0.8500,0.2000,+0.6500,0.8500,high,False
63,probe_checkpoints.withDefense484Only,gemini-00074,low,high,False,0.8500,0.1500,+0.7000,0.8500,high,False
64,probe_checkpoints.withDefense484Only,gemini-00077,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
65,probe_checkpoints.withRegularGullibility,gemini-00077,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
66,probe_checkpoints.withDefense484Only,gemini-00078,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
67,probe_checkpoints.withRegularGullibility,gemini-00078,low,high,False,0.8500,0.3000,+0.5500,0.8500,high,False
68,probe_checkpoints.withRegularGullibility,gemini-00080,low,high,False,0.8500,0.2000,+0.6500,0.8500,high,False
69,probe_checkpoints.withDefense484Only,gemini-00083,high,low,False,0.1500,0.8500,-0.7000,0.8500,low,False
