rank,probe_dir,pair_id,steer_target,predicted,correct,sim_high_ref,sim_low_ref,margin,sim_to_predicted,judge_closer,tie
1,probe_checkpoints.withDefense484Only,sol-00002,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
2,probe_checkpoints.withDefense484Only,sol-00013,high,high,True,1.0000,0.5000,+0.5000,1.0000,high,False
3,probe_checkpoints.withDefense484Only,sol-00014,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
4,probe_checkpoints.withRegularGullibility,sol-00014,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
5,probe_checkpoints.withRegularGullibility,sol-00015,low,high,False,1.0000,0.0000,+1.0000,1.0000,high,False
6,probe_checkpoints.withDefense484Only,sol-00025,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
7,probe_checkpoints.withDefense484Only,sol-00030,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
8,probe_checkpoints.withDefense484Only,sol-00040,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
9,probe_checkpoints.withDefense484Only,sol-00043,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
10,probe_checkpoints.withRegularGullibility,sol-00044,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
11,probe_checkpoints.withRegularGullibility,sol-00049,high,high,True,1.0000,0.2000,+0.8000,1.0000,high,False
12,probe_checkpoints.withRegularGullibility,sol-00054,low,low,True,0.2000,1.0000,-0.8000,1.0000,low,False
13,probe_checkpoints.withDefense484Only,sol-00068,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
14,probe_checkpoints.withDefense484Only,sol-00079,high,high,True,1.0000,0.0000,+1.0000,1.0000,high,False
15,probe_checkpoints.withDefense484Only,sol-00082,low,high,False,1.0000,0.2000,+0.8000,1.0000,high,False
16,probe_checkpoints.withDefense484Only,sol-00086,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
17,probe_checkpoints.withDefense484Only,sol-00098,low,high,False,1.0000,0.2000,+0.8000,1.0000,high,False
18,probe_checkpoints.withRegularGullibility,sol-00103,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
19,probe_checkpoints.withDefense484Only,sol-00112,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
20,probe_checkpoints.withRegularGullibility,sol-00112,low,low,True,0.0000,1.0000,-1.0000,1.0000,low,False
